2026-07-17 16:23:08.108 +08:00 [INF] 正在提取文件: lib/net8.0/zms9110750.TreeCollection.xml
2026-07-17 16:23:16.605 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 38/164
2026-07-17 16:23:16.813 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 39/164
2026-07-17 16:23:16.928 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 40/164
2026-07-17 16:23:16.946 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 41/164
2026-07-17 16:23:16.978 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 42/164
2026-07-17 16:23:17.041 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 43/164
2026-07-17 16:23:17.088 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 44/164
2026-07-17 16:23:17.146 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 45/164
2026-07-17 16:23:17.181 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 46/164
2026-07-17 16:23:17.201 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 47/164
2026-07-17 16:23:17.224 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 48/164
2026-07-17 16:23:17.266 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 49/164
2026-07-17 16:23:17.302 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 50/164
2026-07-17 16:23:17.366 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 51/164
2026-07-17 16:23:17.367 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 52/164
2026-07-17 16:23:17.435 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 53/164
2026-07-17 16:23:17.598 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 54/164
2026-07-17 16:23:17.607 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 55/164
2026-07-17 16:23:17.631 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 56/164
2026-07-17 16:23:17.646 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 57/164
2026-07-17 16:23:17.667 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 58/164
2026-07-17 16:23:17.759 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 59/164
2026-07-17 16:23:17.807 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 60/164
2026-07-17 16:23:17.834 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 61/164
2026-07-17 16:23:17.841 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 62/164
2026-07-17 16:23:17.850 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 63/164
2026-07-17 16:23:17.957 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 64/164
2026-07-17 16:23:17.974 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 65/164
2026-07-17 16:23:18.031 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 66/164
2026-07-17 16:23:18.125 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 67/164
2026-07-17 16:23:18.286 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 68/164
2026-07-17 16:23:18.332 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 69/164
2026-07-17 16:23:18.345 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 70/164
2026-07-17 16:23:18.350 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 71/164
2026-07-17 16:23:18.416 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 72/164
2026-07-17 16:23:18.424 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 73/164
2026-07-17 16:23:18.439 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 74/164
2026-07-17 16:23:18.440 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 75/164
2026-07-17 16:23:18.453 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 76/164
2026-07-17 16:23:18.494 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 77/164
2026-07-17 16:23:18.519 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 78/164
2026-07-17 16:23:18.520 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 79/164
2026-07-17 16:23:18.628 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 80/164
2026-07-17 16:23:18.652 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 81/164
2026-07-17 16:23:18.743 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 82/164
2026-07-17 16:23:18.767 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 83/164
2026-07-17 16:23:18.917 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 84/164
2026-07-17 16:23:18.965 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 85/164
2026-07-17 16:23:18.992 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 86/164
2026-07-17 16:23:19.092 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 87/164
2026-07-17 16:23:19.109 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 88/164
2026-07-17 16:23:19.177 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 89/164
2026-07-17 16:23:19.268 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 90/164
2026-07-17 16:23:19.281 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 91/164
2026-07-17 16:23:19.347 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 92/164
2026-07-17 16:23:19.436 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 93/164
2026-07-17 16:23:19.462 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 94/164
2026-07-17 16:23:19.469 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 95/164
2026-07-17 16:23:19.474 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 96/164
2026-07-17 16:23:19.560 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 97/164
2026-07-17 16:23:19.570 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 98/164
2026-07-17 16:23:19.716 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 99/164
2026-07-17 16:23:19.761 +08:00 [INF] 已处理 100 条翻译，累计输入 21830 tokens，输出 64490 tokens，估算费用 0.15 元
2026-07-17 16:23:19.763 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 100/164
2026-07-17 16:23:19.812 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 101/164
2026-07-17 16:23:19.820 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 102/164
2026-07-17 16:23:19.916 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 103/164
2026-07-17 16:23:19.986 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 104/164
2026-07-17 16:23:20.004 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 105/164
2026-07-17 16:23:20.026 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 106/164
2026-07-17 16:23:20.064 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 107/164
2026-07-17 16:23:20.065 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 108/164
2026-07-17 16:23:20.108 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 109/164
2026-07-17 16:23:20.116 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 110/164
2026-07-17 16:23:20.126 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 111/164
2026-07-17 16:23:20.287 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 112/164
2026-07-17 16:23:20.566 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 113/164
2026-07-17 16:23:20.570 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 114/164
2026-07-17 16:23:20.715 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 115/164
2026-07-17 16:23:20.794 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 116/164
2026-07-17 16:23:20.807 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 117/164
2026-07-17 16:23:20.843 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 118/164
2026-07-17 16:23:20.948 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 119/164
2026-07-17 16:23:20.991 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 120/164
2026-07-17 16:23:21.077 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 121/164
2026-07-17 16:23:21.213 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 122/164
2026-07-17 16:23:21.508 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 123/164
2026-07-17 16:23:21.669 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 124/164
2026-07-17 16:23:21.782 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 125/164
2026-07-17 16:23:21.832 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 126/164
2026-07-17 16:23:22.015 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 127/164
2026-07-17 16:23:22.068 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 128/164
2026-07-17 16:23:22.212 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 129/164
2026-07-17 16:23:22.241 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 130/164
2026-07-17 16:23:22.281 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 131/164
2026-07-17 16:23:22.327 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 132/164
2026-07-17 16:23:22.345 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 133/164
2026-07-17 16:23:22.367 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 134/164
2026-07-17 16:23:22.467 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 135/164
2026-07-17 16:23:22.484 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 136/164
2026-07-17 16:23:22.697 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 137/164
2026-07-17 16:23:23.059 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 138/164
2026-07-17 16:23:23.090 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 139/164
2026-07-17 16:23:23.664 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 140/164
2026-07-17 16:23:23.730 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 141/164
2026-07-17 16:23:23.841 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 142/164
2026-07-17 16:23:24.171 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 143/164
2026-07-17 16:23:24.410 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 144/164
2026-07-17 16:23:24.770 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 145/164
2026-07-17 16:23:24.918 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 146/164
2026-07-17 16:23:25.411 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 147/164
2026-07-17 16:23:26.000 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 148/164
2026-07-17 16:23:26.106 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 149/164
2026-07-17 16:23:26.243 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 150/164
2026-07-17 16:23:26.435 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 151/164
2026-07-17 16:23:26.646 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 152/164
2026-07-17 16:23:26.704 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 153/164
2026-07-17 16:23:26.870 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 154/164
2026-07-17 16:23:26.968 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 155/164
2026-07-17 16:23:27.219 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 156/164
2026-07-17 16:23:27.857 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 157/164
2026-07-17 16:23:27.885 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 158/164
2026-07-17 16:23:27.898 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 159/164
2026-07-17 16:23:29.038 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 160/164
2026-07-17 16:23:29.659 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 161/164
2026-07-17 16:23:31.011 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 162/164
2026-07-17 16:23:38.778 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 163/164
2026-07-17 16:23:48.319 +08:00 [INF] lib/net8.0/zms9110750.TreeCollection.xml 进度: 164/164
2026-07-17 16:23:48.319 +08:00 [INF] 文件完成，本文件翻译 164 条，累计输入 37037 tokens，输出 148306 tokens，估算费用 0.33 元
2026-07-17 16:23:48.326 +08:00 [INF] 完成文件: C:\Users\16229\source\OpenSourceLibrary\NugetTranslation\packages\zms9110750.treecollection\1.1.1\lib\net8.0\zh-Hans\zms9110750.TreeCollection.xml
2026-07-17 16:23:48.326 +08:00 [INF] ===== 包 zms9110750.treecollection 完成 =====
